Dataset,Accuracy,Max F1,AUC ROC,Precision,Recall
chexpert_feature,0.8644000000000001,0.6546495281761112,0.9012926419579443,0.6356204786356054,0.6995904943505792
chexray_text,0.7581067354274105,0.2558256212223197,0.7116356729284974,0.21064218896333986,0.4782386539647661
covid-cxr2_feature,0.7507578309195015,0.8021419009370816,0.7873682775624384,0.6970684039087948,0.9445145018915511
rsna_feature,0.8128161888701517,0.6259370314842578,0.8631169146464122,0.5758620689655173,0.6855500821018062
padchest_text_rare,0.8366767444990464,0.05618539142955089,0.6972462102333754,0.02528194648328482,nan
padchest_feature_seen,0.9220878980192768,0.2802851961540454,0.7794547344991044,0.27071407850028917,0.4137235313505583
padchest_text_unseen,0.8399543378995434,0.05696926439197684,0.7041645952368335,0.028870994911606364,nan
covid-cxr2_text,0.7807342539575615,0.8173130972456437,0.8386366516856186,0.7373225152129818,0.9167717528373266
padchest_feature_rare,0.8574495533911741,0.051494438020417754,0.6990948538270612,0.027845720803903556,nan
padchest_feature_unseen,0.8022532326206632,0.05470119231770515,0.6784093235898107,0.033699702006010586,nan
